Unigram,Frequency
asking,48
list,307
all,2100
command,183
killed,343
action,296
Now,60
owing,22
allegiance,18
none,66
confronts,12
destroys,9
then,1272
goes,89
separate,151
ways,85
begin,133
lives,129
anew,2
Development,94
Concept,13
after,2640
finished,305
full,381
beginning,225
shortly,128
took,744
approximately,227
staff,188
look,143
popular,327
response,221
what,758
wanted,286
next,567
Like,154
predecessor,55
wanting,31
refine,6
mechanics,19
created,376
come,227
revolutionary,31
idea,208
warrant,18
entry,81
Speaking,9
interview,183
stated,446
considered,567
true,153
sequel,72
required,227
amount,142
trial,105
error,28
platform,57
gave,488
improve,71
upon,295
best,624
parts,252
In,5525
addition,342
scenario,27
written,527
Kazuki,2
Yamanobe,1
Hiroyuki,4
Fujii,2
Koichi,1
Majima,2
Kishiko,1
Miyagi,1
Seiki,1
Nagakawa,1
Takayuki,1
Shouji,1
Its,180
darker,22
somber,5
majority,199
material,205
BLiTZ,1
design,305
improvements,33
were,7330
made,1635
graphics,52
layouts,4
structure,238
number,1259
playable,32
upgrade,14
involved,254
polygon,2
models,58
body,435
achieve,57
cooperative,4
incorporated,67
second,1300
removed,161
memory,61
space,167
needed,160
adjusted,14
settings,12
ease,25
play,692
could,1028
appeal,91
retaining,20
essential,60
components,49
newer,20
systems,113
decided,322
designs,57
worked,276
When,619
faced,127
problem,103
uniforms,12
essentially,35
individuality,3
despite,239
him,1840
needing,10
create,198
identify,41
maintaining,42
sense,142
reality,86
world,615
color,112
CANVAS,1
engine,86
anime,44
produced,482
Production,95
I.G,6
Music,320
music,814
originally,342
heard,94
about,1833
project,301
thought,418
light,327
tone,68
similar,466
themes,138
much,717
expected,148
An,331
designed,271
vision,75
rejected,120
He,2759
redid,1
seven,420
production,475
need,149
reassess,2
initially,236
recorded,559
orchestra,31
guitar,166
bass,72
synthesizer,8
before,1441
redoing,1
segments,28
piece,126
incorporating,16
hopeful,5
tune,27
played,748
ending,181
modern,361
divorced,17
fantasy,29
musical,198
instruments,59
constructed,202
atonality,1
working,274
synthesized,18
felt,411
incorporate,17
live,330
Mitsuhiro,1
Ohta,1
arranged,87
several,1113
later,1682
tracks,158
song,1444
If,191
You,334
Wish,4
...,704
もしも君が願うのなら,1
Moshimo,1
Kimi,10
ga,1
Negauno,1
Nara,1
singer,154
reason,130
fought,106
particular,215
wish,43
precious,18
responsibility,67
duty,51
lyrics,195
Seiko,2
Fujibayashi,1
singles,118
Release,50
September,869
teaser,7
website,123
revealed,152
hinting,4
issue,232
Famitsu,8
listed,199
arriving,46
public,535
appearance,294
Tokyo,39
Game,231
Show,53
TGS,5
demo,22
available,248
journalists,28
attendees,12
publicity,22
details,91
scant,2
spoil,2
too,381
potential,126
still,584
flux,9
reveal,50
promote,66
detail,60
leading,310
episodic,5
Flash,19
visual,91
novel,346
27,304
said,1022
capacity,80
DLC,5
plans,184
finalized,4
Multiple,10
featuring,149
recruitable,1
between,1768
February,492
April,711
Extra,8
Edition,30
23,395
Packaged,1
sold,315
lower,216
price,34
chosen,121
pre,175
bonus,30
People,101
owned,141
transfer,101
save,104
data,100
versions,117
Unlike,72
west,443
According,505
poor,199
general,299
unpopularity,3
PSP,19
unofficial,13
patch,21
2012,480
copy,40
download,40
apply,37
translated,48
English,546
Compatible,1
Reception,128
On,1462
day,948
topped,47
exclusive,38
multi,69
charts,80
By,570
102,24
779,2
coming,133
overall,183
Last,50
Story,65
Wii,18
152,18
500,274
enjoyed,95
particularly,288
pleased,23
gaming,23
site,450
Watch,15
Impress,2
negatively,18
noting,80
pacing,7
recycled,10
generally,309
entertaining,24
putting,48
spikes,11
4Gamer.net,1
writer,258
Naohiko,1
Misuosame,1
Play,33
Test,41
article,78
PSN,2
provided,297
profound,19
feeling,70
closure,44
annoying,13
limitations,22
aspects,108
special,223
abilities,45
positively,42
noted,427
Official,24
Magazine,100
UK,227
blurring,2
moral,56
standing,120
art,292
style,384
latter,226
continued,547
quality,151
tweaks,3
balance,40
criticism,99
affected,140
Heath,9
Hindman,5
Lifestyle,2
non,286
removal,47
praising,38
returning,116
serious,135
Points,14
criticized,123
review,231
awkward,12
cutscenes,6
seemed,69
include,465
scene,247
good,363
issues,148
occasional,35
problems,205
AI,110
preview,11
Ryan,72
Geddes,3
IGN,85
left,680
excited,22
go,255
completing,47
enjoying,3
improved,103
visuals,14
Kotaku,3
Richard,192
Eisenbeis,1
highly,163
citing,59
form,605
His,624
criticisms,14
length,234
repetition,12
expressing,20
regret,8
Legacy,54
featured,303
Nintendo,67
3DS,15
crossover,13
Project,96
X,108
Zone,18
representing,65
develop,101
forms,190
Adaptations,7
episode,1057
Titled,2
Taga,1
Tame,2
Jūsō,1
戦場のヴァルキュリア３,1
誰がための銃瘡,1
Wound,2
Taken,5
Someone,1
Sake,3
Network,50
Qriocity,1
planned,173
availability,20
period,554
extended,166
stoppage,6
summer,201
DVD,116
June,810
29,290
August,865
31,251
Black,264
Blue,144
editions,28
purchase,64
set,717
half,505
detailing,12
rivals,35
announced,355
1,2253
Pictures,18
Shinji,4
Motoyama,1
directed,298
Nobuhiro,1
Kondō,1
Hiroshi,4
Ōnogi,1
title,504
inspired,172
principle,31
purpose,88
suffer,26
goals,251
others,369
subtitle,1
Road,357
Kubinka,2
referenced,20
Tank,14
Museum,158
Moscow,11
how,418
regained,24
self,191
stripped,15
identities,11
focused,87
consequences,24
realistic,31
possible,281
consequence,28
did,958
extensive,102
research,198
happened,60
vehicles,90
tanks,56
overturned,11
damaged,242
timeline,14
television,403
adaptation,54
cast,230
appearances,157
Akari,2
Light,186
-Tomoshibi-,1
灯,1
TOMOSHIBI-,1
Faylan,1
Someday,2
Flowers,10
Will,55
Bloom,26
いつか咲く光の花,1
Itsuka,1
Saku,2
Hikari,1
Hana,2
Minami,2
Kuribayashi,1
Both,157
songs,541
respective,50
artists,135
Two,327
adaptations,24
protagonists,25
Namo,1
naki,1
Chikai,1
名もなき誓いの花,1
Flower,37
Oath,6
illustrated,45
Naoyuki,1
Fujisawa,1
eventually,333
volumes,36
serialized,14
Dengeki,6
Maoh,1
-Akaki,1
Unmei,2
Ikusa,1
Otome-,1
-赤き運命の戦乙女-,1
-The,1
Valkyrie,2
Crimson,28
Fate,14
Mizuki,1
Tsuge,1
volume,108
Kadokawa,5
Shoten,4
Tower,71
Building,45
Little,135
Rock,181
Arsenal,55
U.S.,372
building,384
located,359
MacArthur,20
Park,390
downtown,51
Arkansas,43
Built,13
1840,23
installation,16
Since,205
decommissioning,4
housed,40
museums,24
Natural,47
History,230
Antiquities,7
1942,104
1997,166
Military,75
since,790
2001,276
headquarters,159
Æsthetic,8
Club,164
1894,32
receives,50
name,779
distinct,79
octagonal,14
tower,133
Besides,20
remaining,229
oldest,94
buildings,179
central,289
birthplace,13
Douglas,90
became,1255
supreme,33
commander,166
US,588
South,742
Pacific,230
World,847
starting,173
Camden,6
Expedition,13
named,683
10,962
attractions,13
state,749
Arkansas.com,1
Construction,66
arsenal,26
request,102
Governor,94
James,390
Sevier,1
Conway,8
perceived,40
dangers,14
frontier,24
life,849
fears,30
many,1208
Native,83
Americans,109
passing,109
way,571
newly,116
established,433
Oklahoma,12
Territory,55
Thirty,19
six,658
acres,92
appropriated,4
outskirts,10
Major,154
Robert,308
B.,118
Lee,76
land,389
previously,264
racetrack,7
local,537
jockey,3
club,507
John,909
Wormley,1
Walker,44
builder,15
Federal,59
Government,142
supervised,11
construction,368
Originally,55
$,753
14,534
000,1447
allocated,37
proved,130
inadequate,14
budget,102
increased,265
30,630
Work,24
permanent,87
built,633
Being,30
store,68
ammunition,60
foot,130
thick,130
0,914
91,46
m,682
exterior,30
walls,108
called,1060
stone,161
masonry,16
instead,349
Gazette,12
splendid,8
specimen,71
Civil,119
For,487
years,1410
federal,109
government,632
served,327
simple,102
arms,105
depot,14
staffed,13
handful,20
But,198
1860,36
American,1018
horizon,9
company,549
United,1194
States,790
Artillery,30
sixty,30
men,624
transferred,131
Captain,140
Totten,8
15,650
1861,45
legislature,26
hold,160
referendum,15
determine,55
convention,42
should,377
held,537
consider,66
secession,1
elect,17
delegates,24
18,516
wait,38
28,379
Henry,249
Massey,6
Rector,6
informed,60
permitted,41
possession,69
officers,195
State,525
authority,124
people,914
shall,28
determined,127
sever,2
connection,68
responded,95
telling,44
came,554
desperate,22
ultimately,123
futile,8
dispatch,5
letters,133
telegrams,1
reinforcements,55
rumors,27
widely,157
spread,108
already,235
telegraph,6
wire,15
span,34
Memphis,7
recently,102
completed,355
Local,37
attorney,28
M,284
Harrel,3
asked,182
compose,14
dispatched,30
message,72
reported,450
unconfirmed,5
troops,287
sent,377
reinforce,30
outposts,14
Indian,244
recalled,69
winter,114
quarters,25
garrison,47
Fort,166
Smith,142
richest,5
depositories,1
stores,48
supposed,69
ultimate,29
destination,34
tropps,1
[,738
sic,34
],738
ordered,230
-John,1
Telegram,2
item,33
intended,208
simply,127
news,88
lines,237
quickly,193
fueling,2
procession,4
sentiment,28
rumor,4
interpreted,41
Arkansans,1
governor,65
assemble,14
expel,8
5,1361
militia,22
guarantee,15
situations,31
deemed,53
necessary,108
assembled,46
vehemently,7
denied,82
ordering,50
giving,172
any,766
Faced,5
fact,210
believing,40
consensus,23
citizens,49
conflict,119
civilian,70
forced,268
situation,161
6,1011
demand,60
surrender,45
prompted,54
pervades,1
emergency,51
munitions,7
authorities,135
security,120
authorized,40
me,279
assumed,72
aspect,54
my,257
executive,104
Sate,1
interpose,1
official,245
prevent,136
collision,25
your,115
I,2050
therefore,119
delivery,50
charge,125
subject,160
4th,115
March,664
Perhaps,17
because,940
Abraham,19
Lincoln,37
yet,178
inaugurated,11
President,240
instructions,21
superiors,6
withdraw,61
agreed,195
long,850
provisions,25
allowed,281
safe,52
passage,68
direction,127
personal,163
property,113
besides,15
march,35
away,427
leaving,197
conquered,26
surrendering,3
morning,163
8,837
signed,253
agreement,94
placing,36
hands,148
officials,130
That,216
afternoon,51
citizen,15
marched,31
head,390
All,453
point,462
except,132
stayed,67
behind,320
listen,30
hand,224
classified,89
deposit,16
warehouse,10
storage,30
use,878
crisis,50
Thus,52
there,1205
substantial,59
ordnance,15
fabrication,3
repairs,36
nor,95
manufacture,23
cartridges,7
fell,165
Most,249
started,391
scratch,14
efforts,147
Board,93
Inside,30
seizure,7
Confederates,3
inventoried,2
247,8
250,81
musket,4
520,9
percussion,21
caps,29
well,1243
four,1140
bronze,25
cannon,23
battery,110
Long,110
inventory,19
consisted,113
M1822,4
.69,5
cal,8
flintlock,5
625,4
converted,88
53,94
M1842,1
smoothbore,3
357,4
M1855,1
.58,1
rifle,48
muskets,2
900,56
M1817,1
common,448
rifles,29
125,30
M1841,1
Mississippi,82
Rifle,22
54,77
M1847,1
musketoon,1
2,1982
Hall,213
carbines,1
267,9
864,3
Total,32
Of,141
9600,1
serviceable,1
ready,59
Note,32
364,3
Disposition,1
somewhat,69
sketchy,5
various,388
surmised,3
5th,122
6th,89
7th,81
8th,86
Infantry,172
Regiments,29
mustered,3
issued,177
M1816,1
/,1261
caliber,33
flintlocks,2
9th,116
10th,85
companies,163
Kelly,54
Battalion,322
3rd,152
Cavalry,22
Regiment,219
Rifles,52
comprising,32
infantry,141
Van,95
Dorn,5
West,400
1st,181
2nd,194
Mounted,112
11th,82
12th,100
supply,97
almost,312
completely,153
exhausted,36
old,459
junker,1
equipment,117
machinery,38
east,461
River,585
Maj.,1
Gen.,5
Earl,62
1862,30
accountability,5
lost,460
river,276
Napoleon,29
Jackson,154
probably,233
Vicksburg,1
campaign,290
1863,27
Thomas,245
C.,98
district,88
nearly,239
destitute,3
another,699
armory,5
Arkadelphia,5
revived,40
collection,168
armaments,2
small,654
Machinery,6
manufacturing,34
turned,241
quantity,17
excellent,28
Lead,14
mines,38
opened,308
chemical,66
laboratory,38
successfully,99
operated,115
aid,126
Ordnance,12
Department,157
calomel,1
castor,1
oil,113
spirits,11
nitre,1
tinctures,1
iron,97
valuable,36
medicines,7
near,629
Ouachita,1
75,171
miles,404
south,631
tools,34
gathered,35
piecemeal,2
else,63
labor,34
Nothing,19
sort,56
attempted,159
account,151
knowledge,116
taken,328
neither,91
sufficient,56
enterprise,16
among,484
engage,56
undertakings,3
�,1
further,509
lead,440
procured,10
vicinity,39
donation,12
purchases,5
impressments,1
brought,306
rapidly,110
prepared,105
Laboratory,26
illustrating,8
pitiful,1
scarcity,2
country,430
may,1007
documents,58
Library,41
cartridge,9
paper,132
Gunsmiths,1
employed,106
conscripted,3
purchased,98
impressed,50
repair,36
guns,352
equal,50
commenced,37
inspecting,5
observing,20
spirit,61
strong,349
Fitch,6
remainder,84
1500,17
Gen,2
l,32
Rust,1
soon,258
shotguns,4
obtained,69
pikes,1
lances,4
days,511
elapsed,2
change,234
effected,6
Confederate,23
establishment,83
reactivated,5
Looking,40
suitable,48
activity,153
Navy,228
borrowed,30
Lieutenant,89
W.,79
Dunnington,8
Lt.,9
gunboat,6
C.S.S,1
Ponchartrain,2
hopes,27
converting,14
ironclad,16
draw,151
pay,123
placed,254
activities,153
included,697
artillery,160
functions,42
rank,40
lieutenant,14
colonel,13
Col.,6
Returns,2
month,265
C.S.A,1
Vol,21
149,10
Chapter,24
IV,65
Captured,2
Rebel,4
Records,135
enlightening,4
scope,29
crucial,28
Post,122
persons,36
No,503
shops,21
open,295
fabricating,2
Material,5
etc,21
employment,34
laborers,10
Lockman,2
C.C,2
Green,93
W.W.,1
Murphy,29
20,653
enlisted,30
foreman,1
clerks,6
gunsmiths,2
repairing,10
laboratorian,1
26,349
carpenter,6
packing,6
boxes,16
performed,409
Fabricated,1
pair,146
bullet,8
moulds,7
buck,4
&,505
ball,241
shot,244
repaired,26
750,23
ordnances,1
guard,62
office,205
police,218
duties,72
inspected,8
Posts,2
build,131
Sanford,11
Faulkner,34
Traveler,3
presumably,13
naval,99
Summary,8
Done,2
shows,242
Fabrication,1
flint,8
275,20
fuzes,1
117,30
rounds,49
pounder,40
canister,2
130,55
96,81
Repaired,2
236,3
service,309
pistols,16
Received,2
Issued,2
752,1
packages,3
painted,69
gun,259
carriages,25
Performed,3
Guard,43
illuminating,1
above,263
months,342
indicating,51
smoothbores,1
remained,360
predominant,11
sixth,154
less,418
obsolete,22
Summaries,1
C.S.A.,1
continue,169
pace,45
scale,140
Appended,1
ominous,4
notation,1
week,397
packed,16
obedience,8
Chief,64
District,97
marks,68
evacuation,25
surrendered,35
advancing,48
Frederick,78
Steele,10
11,529
1864,17
Union,233
recaptured,13
Fredrick,1
briefly,97
seized,40
Joseph,126
Brooks,53
loyalists,4
Baxter,1
1874,29
Decommissioning,1
1873,18
renamed,85
Barracks,13
barracks,25
married,180
families,106
drastically,7
altered,51
inside,160
Prior,59
renovation,14
rear,112
basement,24
door,75
entrance,123
hoist,3
floors,21
1868,14
front,277
porches,1
added,347
interior,82
stairs,5
today,149
including,1270
staircase,15
1880,37
born,331
northwest,109
floor,99
father,386
Arthur,82
stationed,62
1880s,32
closing,43
arsenals,2
favor,59
smaller,209
ones,84
railroads,10
quick,60
deployment,26
word,200
Washington,132
must,239
abandoned,120
October,757
1890,52
12,662
1893,29
surrounding,130
traded,46
km,836
²,19
North,710
condition,95
forever,25
exclusively,54
devoted,35
uses,169
purposes,61
park,104
Big,107
Mountain,91
north,647
side,550
Logan,12
H.,102
Roots,4
demolished,46
women,337
societies,20
moved,590
membership,22
larger,220
organizations,75
raised,170
money,200
furnish,1
Columbian,6
Exposition,4
Chicago,189
Fair,24
fair,26
conclusion,50
artifacts,14
exhibit,30
displayed,55
invited,90
meet,134
Room,40
Except,7
meetings,66
largely,205
unoccupied,3
fifty,50
suffered,173
significant,302
deterioration,11
financial,128
even,601
paid,127
electric,54
bill,108
Great,207
Depression,73
headquartered,11
Public,88
20th,177
century,1159
Veterans,5
Reunion,2
–,3934
1911,66
Over,122
106,24
veterans,10
largest,289
gathering,30
history,578
attended,131
camped,11
camping,9
area,939
Later,246
National,605
1912,68
library,47
1917,79
station,197
now,731
gone,66
band,401
shell,63
Foster,23
longer,189
exists,53
1936,94
Works,37
Progress,8
Administration,30
Fine,23
Arts,85
Center,152
Register,46
Historic,59
Places,38
1970,150
association,92
Sites,12
Landmark,4
designated,128
1994,155
renovated,15
philanthropist,4
Allsop,1
City,635
museum,99
decommissioned,33
Bernie,7
Babcock,3
finally,182
honor,68
Science,97
merged,26
Children,48
Station,70
Discovery,17
relocated,25
historic,79
Market,25
19,380
goal,312
educate,9
inform,11
visitors,63
preserve,35
servicemen,9
servicewomen,1
commemorate,15
Cicely,2
Mary,154
Barker,60
1895,43
16,531
1973,93
illustrator,7
illustrations,23
depicting,44
fairies,4
flowers,32
education,169
girlhood,3
correspondence,27
courses,37
instruction,18
Croydon,15
School,226
Art,105
Her,184
earliest,136
professional,196
greeting,2
cards,34
juvenile,19
magazine,219
Fairies,21
Spring,40
published,548
1923,49
Similar,36
books,175
decades,99
devout,13
Anglican,16
donated,43
artworks,3
Christian,235
fundraisers,3
missionary,20
She,903
few,516
themed,44
’,363
s,320
Book,86
Hymns,5
collaboration,51
sister,140
Dorothy,21
Leadeth,4
Me,97
stained,22
glass,70
window,80
St.,232
Edmund,22
Church,483
Pitlake,5
painting,91
Christ,71
Child,55
Darling,7
Has,3
Come,39
Queen,153
equally,25
proficient,6
watercolour,1
pen,9
ink,8
oils,5
pastels,2
Kate,43
Greenaway,5
Pre,18
Raphaelites,2
principal,75
influences,64
claimed,255
paint,28
instinctively,5
artistic,48
theories,25
died,398
Though,137
she,1981
Fairy,9
spring,104
autumn,36
wasn,58
't,592
1985,115
posthumously,13
Biography,28
Early,234
daughter,186
youngest,48
child,181
Walter,82
partner,52
seed,15
amateur,52
artist,158
wife,341
Eleanor,8
Oswald,19
66,64
Waddon,3
Surrey,17
England,689
epileptic,1
cared,11
parents,149
elder,26
care,115
family,663
moderately,22
belonged,30
middle,155
nanny,2
governess,4
cook,14
prepare,47
meals,12
hired,95
spent,230
bed,33
amusing,9
herself,113
nursery,24
Randolph,12
Caldecott,3
exerted,7
1919,95
1908,50
13,491
entered,204
evening,77
school,455
1940s,61
teaching,84
Raphael,11
Tuck,4
Sons,18
bought,90
little,350
drawings,31
sovereign,16
postcards,4
won,724
prize,39
Society,148
poster,8
competition,188
afterward,23
elected,141
critic,132
Advertiser,3
remarked,56
show,640
remarkable,34
freedom,43
promise,32
Following,289
death,598
seventeen,26
submitted,47
poetry,93
My,174
Own,6
Leading,20
Strings,2
annuals,2
mother,304
taught,77
kindergarten,16
private,186
schools,173
supervising,12
household,51
literature,115
releases,51
Coming,16
Sir,138
Conan,4
Doyle,37
Peter,214
Pan,13
J.M,1
Barrie,2
fairy,13
Australian,355
Ida,4
Rentoul,1
Outhwaite,2
sending,38
friends,159
1920s,64
1918,103
postcard,2
elves,7
flower,20
paintings,95
publishers,22
Blackie,32
£,264
25,523
24,378
accompanying,44
verses,34
publication,109
Summer,84
1925,52
royalties,7
Violet,1
Clayton,13
Calthrop,3
author,156
Dion,5
wrote,732
exquisite,4
taste,37
draughtsmanship,2
Waldrons,4
1924,52
level,372
semi,109
detached,21
Victorian,54
studio,231
garden,28
conducted,186
room,169
back,863
frugally,1
Andrew,121
churches,90
privileged,5
sometimes,228
parishioners,8
religious,239
described,758
Canon,11
Ingram,29
Hill,200
pillars,8
children,467
modelled,14
closed,171
1940,127
1958,74
ran,184
borrow,3
students,220
atmosphere,87
never,427
forgot,2
relatives,38
Gladys,20
Tidy,1
Barkers,1
housekeeper,4
posed,16
Primrose,8
plants,78
readily,26
Kew,2
Gardens,20
provide,214
specimens,75
costumes,30
leaves,82
plant,87
trunk,8
wings,56
twigs,10
gauze,1
broken,126
illustration,17
often,578
Costume,6
Middle,117
late,673
doubt,51
doing,129
enough,229
church,485
focusing,29
solely,42
sacred,51
Family,95
recommended,76
secular,31
attend,53
receiving,90
sketching,2
trips,22
Amberley,2
Storrington,4
Sussex,26
Cornwall,7
southern,335
coast,245
visited,119
Margaret,40
Tarrant,2
Gomshall,1
Ugglebarnby,1
Near,37
Whitby,3
Yorkshire,35
maid,5
retired,110
supervise,8
give,240
collaborated,33
Our,59
First,264
1954,77
heart,101
attack,415
unable,180
pursue,52
extent,62
aged,71
devolved,9
manage,35
planning,87
1960,114
1961,77
Duppas,1
Avenue,98
restored,58
maisonette,2
bequeathed,14
friend,186
Edith,19
taking,248
residence,55
deteriorate,5
nursing,14
convalescent,1
homes,122
tended,21
Worthing,15
Hospital,65
77,60
funeral,37
services,167
ashes,12
scattered,52
churchyard,20
1989,116
Warne,7
division,156
Penguin,4
Books,42
1983,71
acquired,88
properties,57
principally,16
watercolor,1
competent,9
white,396
sketchbook,1
capturing,40
interesting,58
indicated,71
tried,131
comes,100
naturally,29
attention,147
childhood,54
favorite,73
influence,183
subjects,51
wear,35
nostalgic,4
clothing,40
though,541
melancholy,9
flat,62
perhaps,91
advances,33
printing,30
technology,93
studied,82
analytical,6
eye,126
Along,52
Alice,187
Woodward,22
influenced,135
lifelong,15
am,81
—,1240
technical,83
choice,93
matter,108
admitted,72
fondness,3
Everett,16
Millais,5
wonderful,16
things,165
Edward,127
Burne,1
Jones,86
Depictions,3
