Bigram,Frequency
"('additional', 'episodes')",2
"('episodes', 'are')",1
"('unlocked', ',')",1
"(',', 'some')",4
"('some', 'of')",9
"('of', 'them')",7
"('them', 'having')",1
"('having', 'a')",1
"('a', 'higher')",2
"('higher', 'difficulty')",1
"('difficulty', 'than')",1
"('than', 'those')",1
"('those', 'found')",1
"('found', 'in')",8
"('the', 'rest')",9
"('rest', 'of')",9
"('game', '.')",10
"('<s>', 'There')",20
"('There', 'are')",12
"('are', 'also')",5
"('also', 'love')",1
"('love', 'simulation')",1
"('simulation', 'elements')",1
"('elements', 'related')",1
"('related', 'to')",2
"(""'s"", 'two')",1
"('two', 'main')",1
"('main', 'heroines')",1
"('heroines', ',')",1
"(',', 'although')",28
"('although', 'they')",1
"('they', 'take')",1
"('take', 'a')",1
"('a', 'very')",2
"('very', 'minor')",1
"('minor', 'role')",1
"('role', '.')",2
"(""'s"", 'battle')",3
"('battle', 'system')",1
"('system', ',')",5
"('the', 'BliTZ')",1
"('BliTZ', 'system')",1
"('is', 'carried')",1
"('carried', 'over')",2
"('over', 'directly')",1
"('directly', 'from')",1
"('from', 'Valkyira')",1
"('Chronicles', '.')",1
"('<s>', 'During')",15
"('During', 'missions')",1
"(',', 'players')",1
"('players', 'select')",1
"('select', 'each')",1
"('each', 'unit')",1
"('unit', 'using')",1
"('using', 'a')",4
"('a', 'top')",4
"('top', '@')",1
"('@', 'down')",5
"('down', 'perspective')",1
"('perspective', 'of')",1
"('the', 'battlefield')",4
"('battlefield', 'map')",1
"('map', ':')",1
"(':', 'once')",1
"('once', 'a')",1
"('a', 'character')",3
"('character', 'is')",1
"('player', 'moves')",2
"('moves', 'the')",1
"('the', 'character')",2
"('character', 'around')",1
"('around', 'the')",9
"('battlefield', 'in')",1
"('in', 'third')",1
"('third', '@')",4
"('@', 'person')",2
"('person', '.')",2
"('A', 'character')",1
"('character', 'can')",1
"('can', 'only')",2
"('only', 'act')",1
"('act', 'once')",1
"('once', 'per')",1
"('per', '@')",1
"('@', 'turn')",1
"('turn', ',')",1
"('but', 'characters')",1
"('characters', 'can')",2
"('be', 'granted')",2
"('granted', 'multiple')",1
"('multiple', 'turns')",1
"('turns', 'at')",1
"('at', 'the')",79
"('the', 'expense')",2
"('expense', 'of')",2
"('of', 'other')",4
"('other', 'characters')",1
"('characters', ""'"")",1
"(""'"", 'turns')",1
"('turns', '.')",1
"('<s>', 'Each')",9
"('Each', 'character')",2
"('character', 'has')",3
"('has', 'a')",12
"('a', 'field')",1
"('field', 'and')",1
"('and', 'distance')",1
"('distance', 'of')",2
"('of', 'movement')",1
"('movement', 'limited')",1
"('limited', 'by')",4
"('by', 'their')",7
"('their', 'Action')",1
"('Action', 'Gauge')",1
"('Gauge', '.')",1
"('<s>', 'Up')",1
"('Up', 'to')",1
"('to', 'nine')",1
"('nine', 'characters')",1
"('be', 'assigned')",1
"('assigned', 'to')",5
"('to', 'a')",33
"('a', 'single')",12
"('single', 'mission')",1
"('mission', '.')",2
"('During', 'gameplay')",1
"('gameplay', ',')",2
"(',', 'characters')",1
"('characters', 'will')",1
"('will', 'call')",1
"('call', 'out')",1
"('out', 'if')",1
"('if', 'something')",1
"('something', 'happens')",1
"('happens', 'to')",1
"('to', 'them')",3
"('them', ',')",6
"('as', 'their')",1
"('their', 'health')",1
"('health', 'points')",1
"('points', '(')",1
"('(', 'HP')",1
"('HP', ')')",1
"(')', 'getting')",1
"('getting', 'low')",1
"('low', 'or')",1
"('or', 'being')",1
"('being', 'knocked')",1
"('knocked', 'out')",1
"('out', 'by')",2
"('by', 'enemy')",1
"('enemy', 'attacks')",1
"('attacks', '.')",1
"('has', 'specific')",1
"('specific', '``')",1
"('``', 'Potentials')",1
"('Potentials', '``')",2
"(',', 'skills')",1
"('skills', 'unique')",1
"('unique', 'to')",1
"('each', 'character')",3
"('character', '.')",5
"('<s>', 'They')",32
"('They', 'are')",4
"('are', 'divided')",2
"('divided', 'into')",3
"('into', '``')",1
"('``', 'Personal')",1
"('Personal', 'Potential')",1
"('Potential', '``')",1
"(',', 'which')",80
"('which', 'are')",10
"('are', 'innate')",1
"('innate', 'skills')",1
"('skills', 'that')",1
"('that', 'remain')",1
"('remain', 'unaltered')",1
"('unaltered', 'unless')",1
"('unless', 'otherwise')",1
"('otherwise', 'dictated')",1
"('dictated', 'by')",1
"('by', 'the')",84
"('story', 'and')",2
"('and', 'can')",2
"('can', 'either')",1
"('either', 'help')",1
"('help', 'or')",1
"('or', 'impede')",1
"('impede', 'a')",1
"('character', ',')",3
"('and', '``')",13
"('``', 'Battle')",1
"('Battle', 'Potentials')",2
"('are', 'grown')",1
"('grown', 'throughout')",1
"('throughout', 'the')",10
"('and', 'always')",1
"('always', 'grant')",1
"('grant', 'boons')",1
"('boons', 'to')",1
"('<s>', 'To')",12
"('To', 'learn')",1
"('learn', 'Battle')",1
"('Potentials', ',')",1
"(',', 'each')",4
"('a', 'unique')",1
"('unique', '``')",1
"('``', 'Masters')",1
"('Masters', 'Table')",1
"('Table', '``')",1
"('a', 'grid')",1
"('grid', '@')",1
"('@', 'based')",1
"('based', 'skill')",1
"('skill', 'table')",1
"('table', 'that')",1
"('be', 'used')",3
"('used', 'to')",12
"('to', 'acquire')",1
"('acquire', 'and')",1
"('and', 'link')",1
"('link', 'different')",1
"('different', 'skills')",1
"('skills', '.')",1
"('<s>', 'Characters')",1
"('Characters', 'also')",1
"('also', 'have')",2
"('have', 'Special')",1
"('Special', 'Abilities')",1
"('Abilities', 'that')",1
"('that', 'grant')",1
"('grant', 'them')",1
"('them', 'temporary')",1
"('temporary', 'boosts')",1
"('boosts', 'on')",1
"('battlefield', ':')",1
"(':', 'Kurt')",1
"('Kurt', 'can')",1
"('can', 'activate')",1
"('activate', '``')",1
"('``', 'Direct')",1
"('Direct', 'Command')",1
"('Command', '``')",1
"('``', 'and')",17
"('and', 'move')",1
"('move', 'around')",1
"('battlefield', 'without')",1
"('without', 'depleting')",1
"('depleting', 'his')",1
"('his', 'Action')",1
"('Action', 'Point')",1
"('Point', 'gauge')",1
"('gauge', ',')",1
"('character', 'Reila')",1
"('Reila', 'can')",1
"('can', 'shift')",1
"('shift', 'into')",1
"('into', 'her')",1
"('her', '``')",3
"('``', 'Valkyria')",1
"('Valkyria', 'Form')",1
"('Form', '``')",1
"('and', 'become')",1
"('become', 'invincible')",1
"('invincible', ',')",1
"(',', 'while')",20
"('while', 'Imca')",1
"('Imca', 'can')",1
"('can', 'target')",1
"('target', 'multiple')",1
"('multiple', 'enemy')",1
"('enemy', 'units')",1
"('units', 'with')",1
"('with', 'her')",6
"('her', 'heavy')",1
"('heavy', 'weapon')",1
"('weapon', '.')",3
"('<s>', 'Troops')",1
"('Troops', 'are')",1
"('into', 'five')",2
"('five', 'classes')",2
"('classes', ':')",1
"(':', 'Scouts')",1
"('Scouts', ',')",1
"(',', 'Shocktroopers')",1
"('Shocktroopers', ',')",1
"(',', 'Engineers')",1
"('Engineers', ',')",1
"(',', 'Lancers')",1
"('Lancers', 'and')",1
"('and', 'Armored')",1
"('Armored', 'Soldier')",1
"('Soldier', '.')",1
"('<s>', 'Troopers')",1
"('Troopers', 'can')",1
"('can', 'switch')",1
"('switch', 'classes')",1
"('classes', 'by')",1
"('by', 'changing')",1
"('changing', 'their')",1
"('their', 'assigned')",1
"('assigned', 'weapon')",1
"('<s>', 'Changing')",1
"('Changing', 'class')",1
"('class', 'does')",1
"('does', 'not')",6
"('not', 'greatly')",1
"('greatly', 'affect')",1
"('affect', 'the')",2
"('the', 'stats')",1
"('stats', 'gained')",1
"('gained', 'while')",1
"('while', 'in')",1
"('a', 'previous')",1
"('previous', 'class')",1
"('class', '.')",4
"('<s>', 'With')",15
"('With', 'victory')",1
"('victory', 'in')",2
"('in', 'battle')",2
"('battle', ',')",1
"(',', 'experience')",1
"('experience', 'points')",1
"('points', 'are')",1
"('are', 'awarded')",2
"('awarded', 'to')",2
"('the', 'squad')",1
"('squad', ',')",2
"('are', 'distributed')",1
"('distributed', 'into')",1
"('five', 'different')",1
"('different', 'attributes')",1
"('attributes', 'shared')",1
"('shared', 'by')",2
"('the', 'entire')",7
"('entire', 'squad')",1
"('a', 'feature')",1
"('feature', 'differing')",1
"('differing', 'from')",1
"('from', 'early')",1
"('early', 'games')",1
"('games', ""'"")",1
"(""'"", 'method')",1
"('method', 'of')",2
"('of', 'distributing')",1
"('distributing', 'to')",1
"('different', 'unit')",1
"('unit', 'types')",1
"('types', '.')",2
"('=', 'Plot')",1
"('Plot', '=')",1
"('=', 'The')",59
"('game', 'takes')",1
"('takes', 'place')",3
"('place', 'during')",1
"('War', '.')",3
"('<s>', 'Gallian')",1
"('Gallian', 'Army')",4
"('Army', 'Squad')",1
"('Squad', '422')",1
"('422', ',')",1
"(',', 'also')",7
"('also', 'known')",4
"('known', 'as')",10
"('as', '``')",21
"('``', 'The')",3
"('The', 'Nameless')",1
"(',', 'are')",14
"('are', 'a')",3
"('unit', 'composed')",1
"('composed', 'of')",6
"('of', 'criminals')",1
"('criminals', ',')",1
"(',', 'foreign')",1
"('foreign', 'deserters')",1
"('deserters', ',')",1
"('and', 'military')",3
"('military', 'offenders')",1
"('offenders', 'whose')",1
"('whose', 'real')",1
"('real', 'names')",1
"('names', 'are')",1
"('are', 'erased')",1
"('erased', 'from')",1
"('from', 'the')",79
"('the', 'records')",2
"('records', 'and')",1
"('and', 'thereon')",1
"('thereon', 'officially')",1
"('officially', 'referred')",1
"('to', 'by')",1
"('by', 'numbers')",1
"('numbers', '.')",3
"('<s>', 'Ordered')",1
"('Ordered', 'by')",1
"('the', 'Gallian')",5
"('Gallian', 'military')",1
"('military', 'to')",1
"('to', 'perform')",4
"('perform', 'the')",1
"('the', 'most')",22
"('most', 'dangerous')",1
"('dangerous', 'missions')",1
"('missions', 'that')",2
"('that', 'the')",82
"('the', 'Regular')",1
"('Regular', 'Army')",1
"('Army', 'and')",2
"('and', 'Militia')",1
"('Militia', 'will')",1
"('will', 'not')",2
"('not', 'do')",1
"('do', ',')",2
"(',', 'they')",15
"('are', 'nevertheless')",1
"('nevertheless', 'up')",1
"('up', 'to')",15
"('the', 'task')",1
"('task', ',')",1
"(',', 'exemplified')",1
"('exemplified', 'by')",2
"('their', 'motto')",1
"('motto', ',')",1
"(',', 'Altaha')",1
"('Altaha', 'Abilia')",1
"('Abilia', ',')",1
"(',', 'meaning')",3
"('meaning', '``')",3
"('``', 'Always')",1
"('Always', 'Ready')",1
"('Ready', '.')",1
"('.', '``')",76
"('``', '<e>')",78
"('The', 'three')",1
"('three', 'main')",1
"('main', 'characters')",1
"('characters', 'are')",1
"('are', 'No.7')",1
"('No.7', 'Kurt')",1
"('Kurt', 'Irving')",1
"('Irving', ',')",1
"(',', 'an')",10
"('an', 'army')",1
"('army', 'officer')",1
"('officer', 'falsely')",1
"('falsely', 'accused')",1
"('accused', 'of')",2
"('of', 'treason')",1
"('treason', 'who')",1
"('who', 'wishes')",1
"('wishes', 'to')",1
"('to', 'redeem')",2
"('redeem', 'himself')",1
"('himself', ';')",2
"(';', 'Ace')",1
"('Ace', 'No.1')",1
"('No.1', 'Imca')",1
"('Imca', ',')",1
"('a', 'female')",1
"('female', 'Darcsen')",1
"('Darcsen', 'heavy')",1
"('heavy', 'weapons')",1
"('weapons', 'specialist')",1
"('specialist', 'who')",1
"('who', 'seeks')",1
"('seeks', 'revenge')",1
"('revenge', 'against')",1
"('Valkyria', 'who')",1
"('who', 'destroyed')",1
"('destroyed', 'her')",1
"('her', 'home')",3
"('home', ';')",1
"(';', 'and')",10
"('and', 'No.13')",1
"('No.13', 'Riela')",1
"('Riela', 'Marcellis')",1
"('Marcellis', ',')",1
"('a', 'seemingly')",1
"('seemingly', 'jinxed')",1
"('jinxed', 'young')",1
"('young', 'woman')",1
"('woman', 'who')",1
"('who', 'is')",5
"('is', 'unknowingly')",1
"('unknowingly', 'a')",1
"('a', 'descendant')",1
"('descendant', 'of')",1
"('Valkyria', '.')",1
"('<s>', 'Together')",1
"('Together', 'with')",1
"('with', 'their')",6
"('their', 'fellow')",1
"('fellow', 'squad')",1
"('members', ',')",2
"(',', 'these')",3
"('these', 'three')",1
"('three', 'are')",2
"('are', 'tasked')",1
"('tasked', 'to')",1
"('to', 'fight')",1
"('fight', 'against')",1
"('against', 'a')",4
"('a', 'mysterious')",1
"('mysterious', 'Imperial')",1
"('unit', 'known')",1
"('as', 'Calamity')",1
"('Calamity', 'Raven')",4
"('Raven', ',')",2
"(',', 'consisting')",5
"('consisting', 'of')",6
"('of', 'mostly')",1
"('mostly', 'Darcsen')",1
"('Darcsen', 'soldiers')",1
"('soldiers', '.')",5
"('<s>', 'As')",26
"('As', 'the')",3
"('the', 'Nameless')",10
"('Nameless', 'officially')",1
"('officially', 'do')",1
"('do', 'not')",5
"('not', 'exist')",1
"('exist', ',')",1
"('the', 'upper')",5
"('upper', 'echelons')",1
"('echelons', 'of')",1
"('Army', 'exploit')",1
"('exploit', 'the')",1
"('the', 'concept')",3
"('concept', 'of')",4
"('of', 'plausible')",1
"('plausible', 'deniability')",1
"('deniability', 'in')",1
"('in', 'order')",10
"('order', 'to')",15
"('to', 'send')",1
"('send', 'them')",1
"('them', 'on')",2
"('on', 'missions')",1
"('that', 'would')",4
"('would', 'otherwise')",1
"('otherwise', 'make')",1
"('make', 'Gallia')",1
"('Gallia', 'lose')",1
"('lose', 'face')",1
"('face', 'in')",1
"('the', 'war')",16
"('war', '.')",8
"('While', 'at')",1
"('at', 'times')",2
"('times', 'this')",1
"('this', 'works')",1
"('works', 'to')",1
"('to', 'their')",12
"('their', 'advantage')",1
"('advantage', ',')",1
"('as', 'a')",63
"('a', 'successful')",2
"('successful', 'incursion')",1
"('incursion', 'into')",1
"('into', 'Imperial')",1
"('Imperial', 'territory')",1
"('territory', ',')",1
"(',', 'other')",2
"('other', 'orders')",1
"('orders', 'cause')",1
"('cause', 'certain')",1
"('certain', 'members')",1
"('members', 'of')",8
"('the', '422nd')",3
"('422nd', 'great')",1
"('great', 'distress')",1
"('distress', '.')",1
"('<s>', 'One')",7
"('One', 'such')",1
"('such', 'member')",1
"('member', ',')",1
"(',', 'Gusurg')",1
"('Gusurg', ',')",1
"(',', 'becomes')",2
"('becomes', 'so')",1
"('so', 'enraged')",1
"('enraged', 'that')",1
"('that', 'he')",24
"('he', 'abandons')",1
"('abandons', 'his')",1
"('his', 'post')",1
"('post', 'and')",1
"('and', 'defects')",1
"('defects', 'into')",1
"('into', 'the')",24
"('the', 'ranks')",1
"('ranks', 'of')",1
"('of', 'Calamity')",1
"(',', 'attached')",1
"('attached', 'to')",3
"('the', 'ideal')",1
"('ideal', 'of')",1
"('of', 'Darcsen')",1
"('Darcsen', 'independence')",1
"('independence', 'proposed')",1
"('proposed', 'by')",1
"('their', 'leader')",1
"('leader', ',')",1
"(',', 'Dahau')",2
"('Dahau', '.')",1
"('<s>', 'At')",13
"('At', 'the')",13
"('same', 'time')",9
"('time', ',')",18
"(',', 'elements')",1
"('elements', 'within')",2
"('within', 'Gallian')",1
"('Army', 'Command')",1
"('Command', 'move')",1
"('move', 'to')",3
"('to', 'erase')",1
"('erase', 'the')",1
"('Nameless', 'in')",1
"('to', 'protect')",4
"('protect', 'their')",1
"('their', 'own')",10
"('own', 'interests')",1
"('interests', '.')",1
"('<s>', 'Hounded')",1
"('Hounded', 'by')",1
"('both', 'allies')",1
"('allies', 'and')",1
"('and', 'enemies')",1
"('enemies', ',')",1
"('and', 'combined')",1
"('combined', 'with')",3
"('the', 'presence')",4
"('presence', 'of')",4
"('a', 'traitor')",1
"('traitor', 'within')",1
"('within', 'their')",2
"('their', 'ranks')",1
"('ranks', ',')",1
"('422nd', 'desperately')",1
"('desperately', 'move')",1
"('to', 'keep')",2
"('keep', 'themselves')",1
"('themselves', 'alive')",1
"('alive', 'while')",1
"('while', 'at')",2
"('time', 'fight')",1
"('fight', 'to')",1
"('to', 'help')",3
"('help', 'the')",1
"('Gallian', 'war')",1
"('war', 'effort')",1
"('effort', '.')",1
"('<s>', 'This')",45
"('This', 'continues')",1
"('continues', 'until')",1
"('until', 'the')",8
"('Nameless', ""'s"")",1
"(""'s"", 'commanding')",1
"('commanding', 'officer')",1
"('officer', ',')",2
"(',', 'Ramsey')",1
"('Ramsey', 'Crowe')",1
"('Crowe', ',')",1
"(',', 'who')",45
"('who', 'had')",13
"('had', 'been')",29
"('been', 'kept')",1
"('kept', 'under')",1
"('under', 'house')",1
"('house', 'arrest')",1
"('arrest', ',')",2
"('is', 'escorted')",1
"('escorted', 'to')",1
"('the', 'capital')",3
"('capital', 'city')",1
"('city', 'of')",5
"('of', 'Randgriz')",1
"('Randgriz', 'in')",1
"('to', 'present')",1
"('present', 'evidence')",1
